,name,wins,losses,draws,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:
4466,Ryan Couture,11,5,0,"5' 10""",155 lbs.,"73""",Orthodox,"Aug 27, 1982",3.54,45%,2.87,54%,,1.55,29%,46%,1.3
4467,Dan Cramer,11,4,0,"6' 2""",170 lbs.,--,Orthodox,"Oct 31, 1985",0.97,30%,2.10,31%,,0.00,0%,66%,0.5
4468,Josh Clopton,6,,-1,"5' 6""",145 lbs.,--,Orthodox,"Jul 11, 1981",1.60,64%,2.87,50%,,2.00,66%,75%,0.0
4469,Ricky Camp,11,4,0,"5' 7""",135 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4470,Michael Chandler,23,7,0,"5' 8""",155 lbs.,"71""",Orthodox,"Apr 24, 1986",5.17,46%,4.87,45%,,1.83,36%,71%,1.1
4471,Zak Cummings,24,7,0,"6' 0""",185 lbs.,"75""",Southpaw,"Aug 02, 1984",2.58,32%,2.83,55%,,0.68,28%,65%,0.7
4472,Branko Cikatic,0,,-0,"6' 1""",215 lbs.,--,Orthodox,"Oct 03, 1954",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4473,Wesley Correira,20,1,-0,"6' 3""",260 lbs.,--,Orthodox,"Nov 11, 1978",2.60,36%,8.80,40%,,0.00,0%,90%,0.0
4474,Anthony Christodoulou,12,7,0,"5' 9""",155 lbs.,--,Orthodox,"Jul 30, 1987",2.19,26%,5.90,45%,,0.00,0%,40%,0.0
4475,Liz Carmouche,13,7,0,"5' 6""",125 lbs.,"66""",Orthodox,"Feb 19, 1984",2.78,54%,2.51,61%,,2.57,51%,65%,0.3
4476,Mike Ciesnolevicz,19,4,0,"6' 0""",235 lbs.,--,Orthodox,"Oct 28, 1979",0.51,50%,4.62,57%,,0.00,0%,20%,5.1
4477,Luana Carolina,8,,-0,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993",4.64,50%,3.55,47%,,0.00,0%,82%,1.0
4478,Antonio Carlos Junior,11,5,0,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",1.95,42%,2.14,52%,,3.42,39%,53%,0.8
4479,Taylor Callens,6,,-0,"5' 10""",155 lbs.,--,,"May 21, 1991",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4480,Chris Curtis,29,9,0,"5' 10""",185 lbs.,"75""",Orthodox,"Jul 15, 1987",6.00,58%,6.39,52%,,0.00,0%,100%,0.0
4481,Ryo Chonan,22,1,-0,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 08, 1976",2.57,43%,2.25,60%,,0.61,41%,39%,0.3
4482,Roger Carroll,16,1,-0,"5' 10""",170 lbs.,--,,--,7.62,61%,10.48,43%,,0.00,0%,100%,0.0
4483,Rafael Cavalcante,12,7,0,"6' 1""",205 lbs.,"74""",Orthodox,"Apr 14, 1980",2.71,53%,3.62,49%,,0.60,40%,63%,0.1
4484,Bryan Caraway,21,9,0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984",2.53,34%,3.61,54%,,2.57,25%,80%,0.8
4485,Edgar Chairez,8,,-0,"5' 7""",125 lbs.,--,Orthodox,"Jan 27, 1996",3.40,40%,5.27,48%,,0.00,0%,50%,0.0
4486,Dewey Cooper,2,,-0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4487,Cortney Casey,10,1,-0,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",4.29,39%,4.00,55%,,0.39,31%,39%,0.5
4488,Daron Cruickshank,18,1,-0,"5' 8""",155 lbs.,"72""",Switch,"Jun 11, 1985",2.88,38%,2.98,57%,,2.04,41%,60%,0.2
4489,John Castaneda,19,5,0,"5' 6""",135 lbs.,"71""",Switch,"Dec 18, 1991",4.38,46%,4.53,56%,,0.65,22%,63%,0.3
4490,Rafael Carvalho,14,1,0,"6' 3""",185 lbs.,--,,"Jul 27, 1986",1.94,50%,1.84,54%,,2.77,40%,70%,0.0
4491,Bethe Correia,11,6,1,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",4.37,43%,4.93,56%,,0.39,18%,85%,0.0
4492,Bo Cantrell,10,1,-0,"6' 2""",235 lbs.,--,Orthodox,"Feb 08, 1969",3.16,16%,12.63,0%,,0.00,0%,0%,0.0
4493,Josh Culibao,10,1,1,"5' 10""",145 lbs.,"73""",Orthodox,"May 24, 1994",3.06,44%,3.06,61%,,0.00,0%,82%,0.3
4494,Logan Clark,18,6,0,"6' 2""",185 lbs.,--,Orthodox,"Feb 16, 1985",2.20,54%,1.49,53%,,0.31,100%,30%,2.1
4495,Misha Cirkunov,15,8,0,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 27, 1987",3.87,51%,3.00,57%,,4.25,43%,76%,1.8
4496,Jay Cucciniello,8,,-0,"5' 7""",155 lbs.,--,Orthodox,"Jul 23, 1986",0.93,21%,4.73,36%,,0.00,0%,71%,0.0
4497,Tracy Cortez,10,1,0,"5' 5""",125 lbs.,"65""",Orthodox,"Dec 10, 1993",3.56,54%,2.32,59%,,2.80,48%,71%,0.4
4498,Luke Caudillo,17,1,-0,"5' 7""",155 lbs.,--,Orthodox,"Nov 30, 1980",1.97,28%,5.07,55%,,0.44,20%,85%,0.0
4499,Shane Carwin,12,2,0,"6' 2""",265 lbs.,"80""",Orthodox,"Jan 04, 1975",4.38,47%,3.53,53%,,1.42,33%,42%,0.0
4500,Mychal Clark,10,1,-0,"6' 3""",224 lbs.,--,Orthodox,--,5.80,56%,2.90,59%,,0.00,0%,0%,0.0
4501,Marcio Cruz,8,,-0,"6' 4""",232 lbs.,--,Orthodox,"Apr 24, 1978",2.92,46%,1.51,68%,,0.53,7%,37%,1.6
4502,Jamie Colleen,4,,-0,"5' 3""",115 lbs.,"65""",Orthodox,"Nov 02, 1985",3.11,61%,5.66,33%,,0.52,33%,50%,1.6
4503,Chris Camozzi,24,1,-0,"6' 2""",185 lbs.,"75""",Orthodox,"Nov 20, 1986",3.57,44%,2.96,56%,,0.27,19%,57%,0.5
4504,Jessica-Rose Clark,11,8,0,"5' 5""",135 lbs.,"64""",Orthodox,"Nov 28, 1987",4.02,52%,3.59,59%,,1.76,52%,63%,0.3
4505,Tim Catalfo,4,,-0,"5' 11""",235 lbs.,--,Orthodox,--,0.39,100%,0.77,33%,,0.00,0%,0%,0.0
4506,Dave Cochran,26,2,-1,"5' 6""",155 lbs.,--,,"May 10, 1973",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4507,Jimmy Crute,12,3,0,"6' 2""",205 lbs.,"74""",Orthodox,"Mar 04, 1996",4.33,56%,2.76,50%,,4.87,75%,60%,2.0
4508,Ansar Chalangov,14,5,0,"5' 9""",170 lbs.,--,Orthodox,"Oct 30, 1979",0.68,66%,1.69,54%,,0.00,0%,0%,7.6
4509,Carlos Candelario,8,,-0,"5' 8""",125 lbs.,"68""",Southpaw,"Jun 04, 1991",3.11,46%,4.04,42%,,2.33,33%,53%,0.3
4510,Frank Camacho,22,1,-0,"5' 10""",155 lbs.,"73""",Orthodox,"May 18, 1989",6.56,46%,7.44,51%,,1.11,31%,73%,0.0
4511,Khamzat Chimaev,12,0,0,"6' 2""",170 lbs.,"75""",Orthodox,"May 01, 1994",7.30,59%,3.98,41%,,3.98,57%,100%,3.5
4512,Shane Campbell,14,6,0,"6' 0""",155 lbs.,"71""",Orthodox,"Jan 21, 1987",3.99,59%,3.19,55%,,1.36,28%,82%,0.0
4513,Fabio Cherant,7,,-0,"6' 1""",205 lbs.,"74""",Southpaw,"Nov 25, 1994",1.35,40%,4.89,38%,,0.00,0%,0%,0.0
4514,Bill Cooper,2,,-0,--,155 lbs.,--,,"May 05, 1984",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4515,Mark Cherico,11,1,0,"5' 7""",145 lbs.,"69""",Orthodox,"May 12, 1986",3.69,34%,7.37,56%,,5.03,50%,0%,0.0
4516,Dave Courchaine,20,7,0,"5' 8""",170 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4517,Alex Caceres,19,1,-0,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",4.15,51%,2.92,64%,,0.58,70%,64%,0.8
4518,Fabricio Camoes,14,9,1,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 23, 1978",1.29,33%,1.85,61%,,2.34,32%,20%,1.5
4519,Shonie Carter,51,3,-7,"5' 10""",170 lbs.,--,Southpaw,"May 03, 1972",1.62,36%,2.32,47%,,0.75,66%,75%,0.0
4520,Henry Corrales,13,3,0,"5' 9""",145 lbs.,--,,--,4.12,41%,5.84,55%,,0.00,0%,69%,0.0
4521,Yan Cabral,13,3,0,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983",2.02,47%,1.98,62%,,2.89,35%,37%,1.2
4522,Rich Clementi,45,2,-1,"5' 9""",155 lbs.,"72""",Southpaw,"Mar 31, 1976",1.43,37%,2.29,60%,,1.72,42%,25%,1.1
4523,Ricky Calatayud,16,2,0,"5' 9""",125 lbs.,--,,"Oct 10, 1982",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4524,JR Coughran,4,,-0,"5' 6""",145 lbs.,--,Orthodox,"May 17, 1994",12.29,57%,6.80,45%,,0.00,0%,75%,0.0
4525,Paul Capaldo,6,,-0,"5' 7""",135 lbs.,--,,"Dec 27, 1996",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4526,Kim Couture,3,,-0,"5' 8""",135 lbs.,--,Orthodox,"Dec 18, 1975",12.12,80%,2.31,69%,,0.00,0%,0%,0.0
4527,Emilio Chavez,12,9,0,"5' 9""",145 lbs.,--,,--,2.73,48%,1.53,54%,,3.00,50%,0%,0.0
4528,Donnie Chappell,0,,-0,"5' 11""",178 lbs.,--,Southpaw,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4529,Brett Cooper,23,1,-0,"6' 0""",170 lbs.,--,Orthodox,"Jul 02, 1987",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4530,Alex Crispin,0,,-0,--,155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4531,Gina Carano,7,,-0,"5' 8""",145 lbs.,--,Orthodox,"Apr 16, 1982",4.50,47%,2.66,64%,,1.24,66%,85%,1.6
4532,Tim Credeur,12,4,0,"6' 3""",185 lbs.,"75""",Orthodox,"Jul 09, 1977",3.59,30%,3.13,57%,,0.41,100%,50%,3.3
4533,Gabriel Carrasco,7,,-0,"5' 6""",135 lbs.,--,,--,4.15,37%,1.53,80%,,0.00,0%,100%,0.0
4534,Dominic Clark,10,7,0,"5' 10""",155 lbs.,--,,"Aug 01, 1985",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4535,Andrew Craig,9,,-0,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986",2.39,40%,3.01,50%,,0.53,37%,72%,0.0
4536,John Cofer,8,,-0,"5' 9""",155 lbs.,--,Southpaw,"Apr 29, 1984",2.73,41%,3.43,62%,,1.22,50%,64%,0.0
4537,Chris Cope,8,,-0,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983",3.96,26%,4.82,50%,,0.00,0%,80%,0.0
4538,Kevin Casey,9,,-2,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",2.27,53%,3.76,46%,,0.79,22%,27%,0.4
4539,RJ Clifford,4,,-0,--,160 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4540,Dakota Cochrane,29,1,-0,"5' 8""",155 lbs.,--,,"May 01, 1986",2.66,75%,2.66,30%,,4.43,33%,0%,0.0
4541,Will Campuzano,14,6,0,"5' 9""",125 lbs.,"70""",Orthodox,"May 27, 1986",2.43,31%,3.82,57%,,0.88,45%,48%,0.2
4542,Travis Calanoc,5,,-0,"5' 8""",145 lbs.,--,Orthodox,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4543,Christian Colombo,8,,-1,"6' 5""",265 lbs.,--,Orthodox,"Jul 01, 1980",2.76,44%,4.02,42%,,0.00,0%,33%,0.0
4544,Ken Cross,11,3,0,"6' 0""",155 lbs.,"72""",Southpaw,"Oct 04, 1994",2.20,57%,1.40,55%,,1.00,12%,66%,0.0
4545,Jake Collier,13,8,0,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",5.75,43%,4.82,50%,,0.89,35%,67%,0.5
4546,Cody Carrillo,11,1,-0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4547,Luke Cummo,6,,-0,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 27, 1980",1.74,43%,1.50,59%,,0.89,55%,42%,1.4
4548,Giga Chikadze,14,3,0,"6' 0""",145 lbs.,"74""",Orthodox,"Aug 25, 1988",4.05,42%,3.35,62%,,0.26,33%,69%,0.3
4549,Cynthia Calvillo,9,,-1,"5' 4""",125 lbs.,"64""",Orthodox,"Jul 13, 1987",4.16,39%,3.95,65%,,1.88,44%,75%,0.9
4550,Jeff Crotty,1,,-0,--,155 lbs.,--,,--,0.93,35%,3.33,54%,,5.00,38%,0%,1.0
4551,Ivan Cole,2,,-0,"5' 9""",135 lbs.,--,,"Nov 30, 1990",2.68,36%,4.69,46%,,0.00,0%,0%,0.0
4552,Edgar Cardenas,4,,-0,--,145 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4553,Gabriel Checco,10,2,0,"6' 1""",185 lbs.,--,Switch,"Apr 03, 1986",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4554,Luan Chagas,15,3,1,"6' 0""",170 lbs.,"75""",Orthodox,"Jun 17, 1993",4.16,47%,3.19,62%,,0.32,12%,85%,0.3
4555,Macy Chiasson,9,,-0,"5' 11""",135 lbs.,"72""",Orthodox,"Jul 27, 1991",3.64,44%,2.61,46%,,2.17,34%,64%,0.3
4556,Sako Chivitchian,8,,-0,"5' 11""",155 lbs.,--,,"Mar 11, 1984",2.40,27%,4.80,46%,,0.00,0%,100%,0.0
4557,Patrick Cote,23,1,-0,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 29, 1980",2.81,48%,3.21,48%,,0.68,20%,43%,0.2
4558,Eric Castile,3,,-0,"5' 8""",145 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4559,Chris Coggins,7,,0-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4560,SeungWoo Choi,10,5,0,"6' 0""",145 lbs.,"74""",Orthodox,"Nov 03, 1992",3.32,37%,3.00,45%,,0.90,55%,66%,0.0
4561,John Clarke,1,,-0,--,170 lbs.,--,,"Aug 15, 1977",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4562,Wes Combs,20,6,0,"6' 2""",205 lbs.,--,Orthodox,"Jun 18, 1973",2.14,48%,4.73,45%,,0.00,0%,0%,0.0
4563,Jeff Curran,36,1,-1,"5' 6""",135 lbs.,"69""",Orthodox,"Sep 02, 1977",1.54,31%,2.48,60%,,0.35,12%,35%,1.2
4564,Allen Crowder,10,4,0,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989",2.95,51%,2.95,56%,,1.85,33%,100%,1.2
4565,Derek Campos,19,6,0,"5' 9""",155 lbs.,--,,"Apr 01, 1988",2.41,23%,10.34,44%,,0.00,0%,0%,0.0
4566,SeungGuk Choi,5,,-0,"5' 6""",125 lbs.,"64""",Orthodox,"Dec 26, 1996",3.53,51%,2.20,57%,,0.00,0%,88%,0.0
4567,Chelsea Chandler,4,,-0,--,145 lbs.,--,,"Nov 23, 1990",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4568,Louis Cosce,7,,-0,"5' 9""",170 lbs.,"71""",Orthodox,"Aug 27, 1995",8.22,48%,9.30,48%,,1.07,11%,0%,0.0
4569,Priscila Cachoeira,12,4,0,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988",4.68,43%,7.85,46%,,0.21,33%,65%,0.0
4570,Adam Cella,6,,-0,"6' 2""",170 lbs.,--,,"Jun 26, 1985",1.91,42%,2.61,51%,,3.92,75%,50%,1.3
4571,Chris Cariaso,17,8,0,"5' 3""",125 lbs.,"64""",Southpaw,"May 27, 1981",3.35,43%,2.23,61%,,1.11,39%,57%,0.8
4572,Dan Christison,20,7,0,"6' 8""",265 lbs.,--,Orthodox,"Apr 26, 1972",4.23,51%,3.88,54%,,0.00,0%,37%,1.1
4573,Charlie Campbell,6,,-0,"6' 0""",155 lbs.,--,Orthodox,"Jul 03, 1995",9.32,43%,8.74,57%,,0.00,0%,100%,0.0
4574,Ernest Chavez,10,2,0,"5' 8""",145 lbs.,"70""",Orthodox,"Jun 27, 1983",2.79,40%,3.89,59%,,0.89,33%,50%,0.0
4575,Clayton Carpenter,6,,-0,"5' 6""",125 lbs.,"68""",Orthodox,"Jun 09, 1996",5.27,51%,3.40,59%,,3.00,50%,0%,0.0
4576,Darrion Caldwell,10,1,0,"5' 10""",135 lbs.,--,,"Dec 19, 1987",0.85,34%,0.57,60%,,3.41,66%,100%,0.8
4577,Tim Caron,7,,-0,"6' 1""",185 lbs.,--,Orthodox,"Jul 24, 1987",0.59,50%,6.90,12%,,0.00,0%,0%,0.0
4578,Santo Curatolo,6,,-0,"5' 3""",125 lbs.,"62""",Southpaw,"Jan 18, 1995",1.40,39%,6.07,34%,,2.00,33%,100%,0.0
4579,Phil Caracappa,6,,-0,"5' 8""",135 lbs.,"70""",Orthodox,"Jun 05, 1992",2.93,50%,4.07,29%,,1.00,8%,100%,1.0
4580,Spike Carlyle,9,,-0,"5' 8""",145 lbs.,"71""",Switch,"May 06, 1993",2.55,54%,3.85,30%,,3.34,36%,57%,0.5
4581,Ariane Carnelossi,14,3,0,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",3.04,40%,4.72,43%,,1.62,55%,8%,0.3
4582,Aleksa Camur,6,,-0,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 25, 1995",4.78,59%,3.15,60%,,0.59,25%,50%,0.0
4583,Michael Chiesa,18,6,0,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",1.88,41%,1.67,54%,,3.39,54%,60%,1.0
4584,Ion Cherdivara,1,,-0,--,205 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4585,Mitch Clarke,11,5,0,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 24, 1985",2.35,34%,3.27,47%,,0.64,15%,50%,0.4
4586,Jeff Cox,10,7,0,"5' 10""",155 lbs.,--,Orthodox,"Aug 02, 1968",0.56,25%,1.69,33%,,4.23,50%,80%,0.0
4587,Ronald Carillo,4,,-0,--,125 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4588,Devin Clark,13,7,0,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",2.94,55%,2.86,44%,,2.30,35%,55%,0.1
4589,Clay Collard,14,7,0,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993",4.22,32%,5.00,50%,,2.81,39%,71%,0.5
4590,Ion Cutelaba,16,8,1,"6' 1""",205 lbs.,"75""",Southpaw,"Dec 14, 1993",4.61,42%,3.26,47%,,4.68,63%,76%,0.0
4591,Kit Cope,6,,-0,"6' 0""",170 lbs.,--,Orthodox,"Mar 17, 1977",1.18,52%,2.12,35%,,0.00,0%,50%,3.5
4592,Alvin Cacdac,18,1,-0,"5' 6""",125 lbs.,--,Orthodox,--,1.21,66%,0.61,0%,,0.00,0%,0%,0.0
4593,Coltin Cole,4,,-0,--,185 lbs.,--,,"Apr 24, 1989",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4594,Guido Cannetti,9,,-0,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",3.52,55%,2.94,51%,,1.98,50%,70%,0.2
4595,Thomas Campbell,3,,-0,--,--,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4596,Miguel Cosio,1,,3-0,"6' 4""",205 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4597,Rashad Coulter,9,,-0,"5' 11""",205 lbs.,"76""",Orthodox,"Nov 27, 1981",4.82,56%,6.68,50%,,0.00,0%,62%,0.0
4598,Danny Castillo,17,1,-0,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1979",2.57,42%,1.96,62%,,2.95,38%,63%,0.2
4599,Marcos Conrado Jr.,5,,-0,"6' 2""",220 lbs.,--,Orthodox,"Mar 14, 1982",1.60,34%,9.69,35%,,1.84,14%,0%,0.0
4600,Murad Chunkaiev,8,,-0,"5' 11""",185 lbs.,--,Orthodox,--,0.85,16%,3.41,66%,,8.53,100%,0%,0.0
4601,Amanda Cooper,3,,-0,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991",3.55,44%,3.20,51%,,1.53,38%,28%,1.8
4602,Pat Curran,22,7,0,"5' 9""",145 lbs.,--,,"Aug 31, 1987",4.70,58%,4.40,63%,,2.50,62%,66%,0.0
4603,Albert Cheng,7,,-0,"5' 11""",170 lbs.,--,Orthodox,"Feb 07, 1985",1.00,41%,2.60,71%,,0.00,0%,0%,0.0
4604,Daniel Cormier,22,3,0,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",4.25,52%,2.92,54%,,1.83,44%,80%,0.4
4605,Will Chope,34,1,-0,"6' 4""",145 lbs.,--,Switch,"Sep 08, 1990",4.43,27%,9.93,46%,,0.00,0%,0%,0.0
4606,Wagner Campos,12,1,-0,"5' 6""",145 lbs.,--,Southpaw,"Jul 31, 1981",1.54,41%,2.53,51%,,2.71,100%,0%,0.0
4607,Felipe Colares,10,4,0,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 31, 1994",2.17,45%,4.65,36%,,1.88,24%,43%,0.5
4608,Darryl Cobb,6,,-0,"5' 9""",185 lbs.,--,,"Aug 04, 1980",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4609,Colby Covington,17,3,0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",4.10,39%,3.05,55%,,4.05,45%,72%,0.2
4610,Heather Clark,7,,-0,"5' 6""",115 lbs.,"64""",Orthodox,"Sep 19, 1980",3.69,49%,5.62,50%,,0.33,4%,80%,0.3
4611,Joe Camacho,13,1,-3,"5' 9""",155 lbs.,--,Orthodox,"Mar 10, 1972",0.31,17%,5.00,42%,,0.00,0%,0%,0.0
4612,Willian Colorado,11,1,0,"5' 10""",135 lbs.,"72""",,"Jun 21, 1986",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4613,Patrick Cummins,10,7,0,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",4.26,50%,3.35,55%,,4.49,41%,28%,0.1
4614,Remo Cardarelli,7,,-0,--,135 lbs.,--,,--,2.27,47%,1.47,59%,,0.00,0%,100%,0.0
4615,Chris Culley,20,1,-0,--,145 lbs.,--,,"Mar 25, 1986",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4616,Chris Clements,12,6,0,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976",3.20,49%,2.37,44%,,0.00,0%,32%,0.3
4617,Jenna Castillo,1,,-0,"5' 2""",125 lbs.,--,,"May 05, 1982",3.24,56%,2.01,57%,,1.68,100%,100%,0.0
4618,Chad Cook,10,1,-0,"6' 2""",205 lbs.,--,,"Nov 07, 1979",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4619,Katlyn Chookagian,18,4,0,"5' 9""",125 lbs.,"68""",Orthodox,"Dec 28, 1988",4.56,35%,4.26,63%,,0.28,15%,54%,0.4
4620,Marc Cofer,7,,-0,--,185 lbs.,--,,"Mar 03, 1972",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4621,Dooho Choi,14,4,0,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",5.32,51%,6.38,53%,,0.41,20%,50%,0.0
4622,Paul Craig,16,5,1,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",2.47,46%,2.79,47%,,1.85,20%,50%,1.7
4623,Steven Ciaccio,4,,-0,"6' 0""",170 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4624,Bendy Casimir,20,1,-2,"5' 5""",145 lbs.,--,Southpaw,"Jun 10, 1980",0.74,27%,3.42,54%,,0.00,0%,100%,0.0
4625,Vince Cachero,7,,-0,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 07, 1989",3.29,45%,6.51,43%,,0.00,0%,18%,0.5
4626,Paul Creighton,3,,-0,"5' 6""",155 lbs.,--,Southpaw,"Jun 04, 1970",0.72,75%,4.65,30%,,5.37,37%,0%,0.0
4627,Cameron Church,4,,-0,"5' 11""",155 lbs.,"72""",Orthodox,"Sep 27, 1990",4.00,40%,4.93,50%,,0.00,0%,60%,1.0
4628,Steve Cantwell,7,,-0,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 08, 1986",3.63,34%,5.76,55%,,0.65,30%,80%,0.7
4629,Vinicius Cenci,7,,-0,--,155 lbs.,--,,"Nov 24, 1995",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4630,Mike Campbell,13,4,0,"5' 9""",155 lbs.,--,Southpaw,--,1.40,26%,1.40,63%,,5.26,100%,0%,0.0
4631,Oscar Cota,11,3,0,"6' 0""",230 lbs.,"72""",Orthodox,"Oct 15, 1984",0.33,41%,2.47,41%,,0.00,0%,60%,1.0
4632,Don Carlo-Clauss,10,7,0,--,170 lbs.,--,,--,1.44,30%,7.68,43%,,0.00,0%,66%,0.0
4633,Phil Cardella,8,,-0,"5' 11""",155 lbs.,--,,"Jul 09, 1976",2.47,50%,2.00,57%,,0.00,0%,11%,2.5
4634,Nick Catone,10,4,0,"6' 0""",185 lbs.,"72""",Southpaw,"Sep 01, 1981",2.11,44%,2.32,63%,,3.71,44%,83%,0.5
4635,Carlos Condit,32,1,-0,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984",3.66,39%,2.67,55%,,0.59,46%,38%,1.0
4636,TJ Cook,13,5,0,--,205 lbs.,--,,"Sep 08, 1982",2.30,47%,3.18,54%,,1.01,50%,0%,0.0
4637,Waldo Cortes-Acosta,7,,-0,"6' 4""",260 lbs.,--,Orthodox,"Oct 03, 1991",11.73,48%,4.09,44%,,0.00,0%,0%,0.0
4638,Jared Chaffee,5,,-0,"5' 10""",155 lbs.,--,,"Dec 15, 1984",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4639,Clint Coronel,2,,-0,--,155 lbs.,--,,--,4.93,32%,5.60,66%,,0.00,0%,66%,0.0
4640,Raul Castillo,7,,-0,"5' 11""",185 lbs.,--,Orthodox,--,1.47,48%,3.27,60%,,0.00,0%,0%,0.0
4641,Antonio Carvalho,15,6,0,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1979",3.03,29%,3.62,64%,,0.00,0%,100%,0.0
4642,Cortez Coleman,13,8,0,"6' 1""",185 lbs.,--,,"Jan 28, 1982",0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4643,AJ Dobson,6,,-0,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 18, 1992",4.70,57%,4.55,39%,,0.78,50%,62%,0.8
4644,Israel Delgado,0,,-0,"5' 10""",155 lbs.,--,,--,0.00,0%,0.00,0%,,0.00,0%,0%,0.0
4645,Emily Ducote,12,6,0,"5' 2""",115 lbs.,"63""",Orthodox,"Jan 01, 1994",7.73,56%,4.20,74%,,0.00,0%,100%,0.0
